Country,Status,Date,Center ID,Center,Verified,Type,Activity,Org,Capacity,Equipment (R.A.G),Staff,Doctors,Nurses,Isolation Facility,PPE,Burial Site,Water,Power,Comm.,Date open,Date closed,Region,Adm1 ID,District,Adm2 ID,Adm3,Place,Lat,Long,Address,Clinic Website,Notes (example: If closed why?),Source of info,Location in OSM,MTI: Zone,MTI: Zonal Facility,UN Team,UN Site No,UN site name,UTM,UN Gr,UNMIL Grid,UNMIL Grid New
#country,#status,#report_date,#loc_id,#loc,#x_verified,#loctype,#activity,#org,#x_capacity,#x_equipment,#x_staff,#x_doctors,#x_nurses,#x_isolation,#x_ppe,#x_burial_sites,#x_water,#x_power,#x_comm,#from_date,#to_date,#adm1,#adm1_id,#adm2,#adm2_id,#adm3,#x_placename,#lat_deg,#lon_deg,#x_address,#site_lnk,#x_notes,#data_lnk,#x_loc_osm,#x_mti_zone,#x_mti_zone_facility,#x_un_team,#x_un_site_id,#x_un_site,#x_utm,#x_un_gr,#x_un_grid,#x_un_grid_new
Liberia,Open,19.08.14,UN005,Bonjeh clinic,Y,1 Public Clinic,,GOL (MOHSW only),,,,1 OIC (CM),3 (2 RN),NO,68,NO,,,,,,Bomi,LBR01,Dewoin,LBR0101,,Gbonje (Bonjeh),6.488652,-10.853673,Bomi County and Dewoin district,,"This facility has no support from an external organisation. Catchment population 1,494 (2012), Alt ID: Dupl LISGIS007, LR03-000007","http://www.tlcafrica.com/lisgis/lisgis.htm, http://liberia.ushahidi.com/reports/view/240, http://www.unicef.org/evaldatabase/files/2_Bomi_CHT_Evaluation_Report_-_May_2_2012.FINAL.pdf, http://www.mohsw.gov.lr/documents/HSPF_FY%202012-13_Annual%20Report_rev_12-3.pdf, http://liberianewsagency.org/pagesnews.php?nid=2822",,,,UNMO TEAM SITE 01(TUBMANBURG),1,Tubmanburg,29N,KH 950 176,29NKH 950 176,29NKH 950 176
Liberia,Open,19.08.14,UN003,Jenneh #3 clinic,Y,1 Public Clinic,,GOL & MTI,,,,1 PA,4,NO,50,NO,,,,,,Bomi,LBR01,Dewoin,LBR0101,,Jenne,6.53735000000,-10.853200,,,Geolocated to village level,"http://www.tlcafrica.com/lisgis/lisgis.htm, https://www.google.com/maps/place/6%C2%B032%2714.5%22N+10%C2%B051%2711.5%22W/@6.53735,-10.8532,607m/data=!3m1!1e3!4m2!3m1!1s0x0:0x0",,,,UNMO TEAM SITE 01(TUBMANBURG),1,Tubmanburg,29N,LH 951 229,29NLH 951 229,29NLH 951 229
Liberia,Closed,19.08.14,UN002,Beh Town clinic,Y,1 Public Clinic,BOMI / CLINIC,GOL (AHA),,,,"1 OIC, 1 PA","4 (1 RN, 1 Vaccinator)",NO,63,NO,,,,,,Bomi,LBR01,Dewoin,LBR0101,,Beh (Beang),6.617460793,-10.987152,,,"This facility is run by AHA (African Humanitarian Action). The facility ID number is: LR03-000009.  Coordinates are based on the location of 'Beh' on the 'Liberia Mapped' Ushahidi map. Catchment population 3,867 (2012).  Closed as of Oct 4th according to Liberia News Agency - see source.","http://www.tlcafrica.com/lisgis/lisgis.htm, http://liberia.ushahidi.com/reports/view/154, http://liberiamohsw.org/Policies%20&%20Plans/Bomi%20County%20Health%20Plan%20Narrative%20Revised.pdf, http://www.unicef.org/evaldatabase/files/2_Bomi_CHT_Evaluation_Report_-_May_2_2012.FINAL.pdf,  http://www.mohsw.gov.lr/documents/HSPF_FY%202012-13_Annual%20Report_rev_12-3.pdf",,,,UNMO TEAM SITE 01(TUBMANBURG),1,Tubmanburg,29N,KH 803 319,29NKH 803 319,29NKH 803 319
Liberia,Open,,UN006,Bowein clinic,Y,1 Gov. Hospital,,,,,,1 OIC,3,NO,57,NO,,,,,,Bomi,LBR01,Dewoin,LBR0101,,Bowein,6.607968059,-10.870479,,,imagery shows small rural village,,,,,UNMO TEAM SITE 01(TUBMANBURG),1,Tubmanburg,29N,KH 932 308,29NKH 932 308,29NKH 932 308
Liberia,Open,,UN001,Dagweh Clinic,Y,1 Public Clinic,,GOL (MOHSW only),,,,1 OIC,3,NO,76,NO,,,,,,Bomi,LBR01,Dewoin,LBR0101,,"Tagweh (Dagweh, Togee)",6.566992965,-10.946269,,,imagery shows small rural village,,,,,UNMO TEAM SITE 01(TUBMANBURG),1,Tubmanburg,29N,KH 848 263,29NKH 848 263,29NKH 848 263
Liberia,"
",,UN004,Vortor clinic,Y,1 Public Clinic,,GOL (MOHSW only),,,,1 OIC,3,NO,45,NO,,,,,,Bomi,LBR01,Dewoin,LBR0101,,Vortor,6.618174639,-11.034169,,,"OSM confirms ""Vortor"" as place. Marker appears on a road.",,,,,UNMO TEAM SITE 01(TUBMANBURG),1,Tubmanburg,29N,KH 751 320,29NKH 751 320,29NKH 751 320
Liberia,Open*,,UN015,Gbah Jekeh Town  Community Clinic,Y,1 Public Clinic,,,,,,1 OIC,3,No,No,No,,,,,,Bomi,LBR01,Klay,LBR0102,,Baha,6.714684,-10.971777,,,Geolocated to village level.  Open and attending to out patients only,"https://www.google.com/maps/place/6%C2%B042%2752.9%22N+10%C2%B058%2718.4%22W/@6.714684,-10.971777,985m/data=!3m2!1e3!4b1!4m2!3m1!1s0x0:0x0",,,,UNMO TEAM SITE 01(TUBMANBURG),1,Tubmanburg,29N,KH 824 428,29NKH 824 428,29NKH 824 428
Liberia,,19.08.14,LR03-000022,Weawolo,Y,Clinic,,MOHSW only,N/A,,,,,,,,,,,,,Bomi,LBR01,Klay,LBR0102,,Bayukes,6.62395000000,-10.773830,,,,,,,,,,,,,,
Liberia,Open,19.08.14,UN017,Gohnzipo,Y,1 Public Clinic,,AHA,,,,1 PA,4,NO,30,NO,,,,,,Bomi,LBR01,Klay,LBR0102,,Gohnzipo,6.66235000000,-10.925480,,,OSM identifies as gohnzipo imagery shows a village,http://www.tlcafrica.com/lisgis/lisgis.htm,,,,UNMO TEAM SITE 01(TUBMANBURG),1,Tubmanburg,29N,KH 870370,29NKH 870370,29NKH 870370
